tpep_pickup_datetime,num_pickups,num_passengers
2016-07-01 00:00:00,293,529.0
2016-07-01 01:00:00,8,13.0
2016-07-01 02:00:00,1,2.0
2016-07-01 03:00:00,1,1.0
2016-07-01 04:00:00,9,9.0
2016-07-01 05:00:00,13,15.0
2016-07-01 06:00:00,40,59.0
2016-07-01 07:00:00,88,137.0
2016-07-01 08:00:00,286,524.0
2016-07-01 09:00:00,381,690.0
2016-07-01 10:00:00,506,922.0
2016-07-01 11:00:00,427,804.0
2016-07-01 12:00:00,429,807.0
2016-07-01 13:00:00,449,830.0
2016-07-01 14:00:00,482,867.0
2016-07-01 15:00:00,315,537.0
2016-07-01 16:00:00,341,598.0
2016-07-01 17:00:00,533,908.0
2016-07-01 18:00:00,426,709.0
2016-07-01 19:00:00,454,761.0
2016-07-01 20:00:00,525,970.0
2016-07-01 21:00:00,504,875.0
2016-07-01 22:00:00,370,656.0
2016-07-01 23:00:00,473,789.0
2016-07-02 00:00:00,572,978.0
2016-07-02 01:00:00,759,1284.0
2016-07-02 02:00:00,587,1047.0
2016-07-02 03:00:00,173,283.0
2016-07-02 04:00:00,104,191.0
2016-07-02 05:00:00,29,43.0
2016-07-02 06:00:00,39,55.0
2016-07-02 07:00:00,60,112.0
2016-07-02 08:00:00,185,340.0
2016-07-02 09:00:00,254,482.0
2016-07-02 10:00:00,368,621.0
2016-07-02 11:00:00,404,696.0
2016-07-02 12:00:00,305,534.0
2016-07-02 13:00:00,343,655.0
2016-07-02 14:00:00,342,649.0
2016-07-02 15:00:00,338,579.0
2016-07-02 16:00:00,365,661.0
2016-07-02 17:00:00,360,670.0
2016-07-02 18:00:00,372,725.0
2016-07-02 19:00:00,237,486.0
2016-07-02 20:00:00,189,332.0
2016-07-02 21:00:00,274,472.0
2016-07-02 22:00:00,282,450.0
2016-07-02 23:00:00,212,406.0
2016-07-03 00:00:00,114,195.0
2016-07-03 01:00:00,4,19.0
2016-07-03 02:00:00,2,7.0
2016-07-03 03:00:00,0,
2016-07-03 04:00:00,10,12.0
2016-07-03 05:00:00,13,18.0
2016-07-03 06:00:00,11,22.0
2016-07-03 07:00:00,31,52.0
2016-07-03 08:00:00,89,145.0
2016-07-03 09:00:00,196,362.0
2016-07-03 10:00:00,336,640.0
2016-07-03 11:00:00,255,493.0
2016-07-03 12:00:00,297,547.0
2016-07-03 13:00:00,273,495.0
2016-07-03 14:00:00,294,540.0
2016-07-03 15:00:00,269,487.0
2016-07-03 16:00:00,347,626.0
2016-07-03 17:00:00,432,741.0
2016-07-03 18:00:00,288,516.0
2016-07-03 19:00:00,260,474.0
2016-07-03 20:00:00,248,434.0
2016-07-03 21:00:00,326,546.0
2016-07-03 22:00:00,274,430.0
2016-07-03 23:00:00,251,434.0
2016-07-04 00:00:00,78,152.0
2016-07-04 01:00:00,2,2.0
2016-07-04 02:00:00,0,
2016-07-04 03:00:00,1,3.0
2016-07-04 04:00:00,3,4.0
2016-07-04 05:00:00,11,26.0
2016-07-04 06:00:00,12,13.0
2016-07-04 07:00:00,68,109.0
2016-07-04 08:00:00,202,381.0
2016-07-04 09:00:00,178,323.0
2016-07-04 10:00:00,350,625.0
2016-07-04 11:00:00,344,591.0
2016-07-04 12:00:00,385,709.0
2016-07-04 13:00:00,381,672.0
2016-07-04 14:00:00,418,732.0
2016-07-04 15:00:00,651,1185.0
2016-07-04 16:00:00,597,1087.0
2016-07-04 17:00:00,809,1402.0
2016-07-04 18:00:00,759,1298.0
2016-07-04 19:00:00,622,1032.0
2016-07-04 20:00:00,631,1088.0
2016-07-04 21:00:00,584,1002.0
2016-07-04 22:00:00,514,858.0
2016-07-04 23:00:00,651,1131.0
2016-07-05 00:00:00,397,673.0
2016-07-05 01:00:00,4,13.0
2016-07-05 02:00:00,2,2.0
2016-07-05 03:00:00,0,
2016-07-05 04:00:00,9,15.0
2016-07-05 05:00:00,13,18.0
2016-07-05 06:00:00,56,100.0
2016-07-05 07:00:00,420,699.0
2016-07-05 08:00:00,624,1015.0
2016-07-05 09:00:00,938,1563.0
2016-07-05 10:00:00,877,1559.0
2016-07-05 11:00:00,764,1290.0
2016-07-05 12:00:00,566,1005.0
2016-07-05 13:00:00,576,1046.0
2016-07-05 14:00:00,691,1188.0
2016-07-05 15:00:00,602,1047.0
2016-07-05 16:00:00,581,942.0
2016-07-05 17:00:00,642,1157.0
2016-07-05 18:00:00,701,1176.0
2016-07-05 19:00:00,659,1126.0
2016-07-05 20:00:00,610,990.0
2016-07-05 21:00:00,694,1157.0
2016-07-05 22:00:00,780,1321.0
2016-07-05 23:00:00,668,1088.0
2016-07-06 00:00:00,324,539.0
2016-07-06 01:00:00,5,8.0
2016-07-06 02:00:00,0,
2016-07-06 03:00:00,0,
2016-07-06 04:00:00,9,13.0
2016-07-06 05:00:00,9,15.0
2016-07-06 06:00:00,42,72.0
2016-07-06 07:00:00,279,415.0
2016-07-06 08:00:00,463,765.0
2016-07-06 09:00:00,493,813.0
2016-07-06 10:00:00,579,995.0
2016-07-06 11:00:00,528,851.0
2016-07-06 12:00:00,410,693.0
2016-07-06 13:00:00,524,855.0
2016-07-06 14:00:00,493,855.0
2016-07-06 15:00:00,475,783.0
2016-07-06 16:00:00,522,879.0
2016-07-06 17:00:00,541,957.0
2016-07-06 18:00:00,606,999.0
2016-07-06 19:00:00,582,919.0
2016-07-06 20:00:00,572,924.0
2016-07-06 21:00:00,600,967.0
2016-07-06 22:00:00,590,911.0
2016-07-06 23:00:00,491,828.0
2016-07-07 00:00:00,202,325.0
2016-07-07 01:00:00,2,3.0
