,num_pickups,num_passengers,holiday,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,weather_main,weather_description,Passengers
2014-01-01 00:00:00-05:00,107,210.0,True,269.27,267.59,270.93,1026.0,80.0,3.0,313.0,Clear,Sky is Clear,108
2014-01-01 01:00:00-05:00,34,45.0,False,268.9,267.04,270.93,1026.0,80.0,2.0,293.0,Clear,Sky is Clear,0
2014-01-01 02:00:00-05:00,34,70.0,False,268.48,266.48,270.37,1026.0,57.0,3.0,244.0,Clear,Sky is Clear,0
2014-01-01 03:00:00-05:00,12,18.0,False,268.33,265.93,270.37,1024.0,80.0,3.0,244.0,Clear,Sky is Clear,0
2014-01-01 04:00:00-05:00,25,37.0,False,268.1,265.37,270.37,1024.0,80.0,3.0,244.0,Clear,Sky is Clear,0
2014-01-01 05:00:00-05:00,16,24.0,False,268.02,265.37,270.37,1029.0,80.0,1.0,245.0,Clear,Sky is Clear,243
2014-01-01 06:00:00-05:00,14,17.0,False,267.9,265.37,270.37,1025.0,80.0,1.0,124.0,Clear,Sky is Clear,141
2014-01-01 07:00:00-05:00,21,35.0,False,267.59,263.71,270.37,1029.0,80.0,1.0,209.0,Clear,Sky is Clear,717
2014-01-01 08:00:00-05:00,94,190.0,False,267.67,264.26,270.37,1029.0,80.0,0.0,218.0,Clear,Sky is Clear,797
2014-01-01 09:00:00-05:00,164,285.0,False,269.0,265.37,272.04,1026.0,80.0,1.0,282.0,Clear,Sky is Clear,761
2014-01-01 10:00:00-05:00,379,673.0,False,270.65,268.71,272.59,993.0,63.0,3.0,244.0,Clear,Sky is Clear,778
2014-01-01 11:00:00-05:00,367,703.0,False,271.41,269.26,272.59,1026.0,80.0,1.0,138.0,Clear,Sky is Clear,793
2014-01-01 12:00:00-05:00,450,836.0,False,272.22,270.93,273.71,1025.0,80.0,3.0,244.0,Clear,Sky is Clear,802
2014-01-01 13:00:00-05:00,430,722.0,False,272.52,271.48,273.71,1029.0,80.0,3.0,244.0,Clear,Sky is Clear,1282
2014-01-01 14:00:00-05:00,455,856.0,False,273.16,272.04,274.82,1028.0,80.0,1.0,243.0,Clear,Sky is Clear,771
2014-01-01 15:00:00-05:00,565,1070.0,False,273.32,272.04,274.82,1027.0,80.0,1.0,227.0,Clear,Sky is Clear,840
2014-01-01 16:00:00-05:00,542,995.0,False,273.32,272.04,274.82,1027.0,80.0,0.0,25.0,Clear,Sky is Clear,482
2014-01-01 17:00:00-05:00,669,1227.0,False,272.83,272.04,274.26,1027.0,80.0,3.0,244.0,Clear,Sky is Clear,692
2014-01-01 18:00:00-05:00,796,1553.0,False,272.58,271.48,274.26,1027.0,80.0,0.0,264.0,Clear,Sky is Clear,491
2014-01-01 19:00:00-05:00,738,1354.0,False,272.11,270.93,274.26,1027.0,80.0,0.0,52.0,Clear,Sky is Clear,686
2014-01-01 20:00:00-05:00,501,869.0,False,271.92,270.37,274.26,1026.0,80.0,1.0,44.0,Clear,Sky is Clear,724
2014-01-01 21:00:00-05:00,430,778.0,False,271.87,270.93,274.26,1026.0,80.0,1.0,95.0,Clear,Sky is Clear,325
2014-01-01 22:00:00-05:00,633,1096.0,False,271.87,270.93,274.26,1026.0,80.0,1.0,95.0,Clear,Sky is Clear,199
2014-01-01 23:00:00-05:00,541,944.0,False,284.793,284.793,284.793,1022.0,80.0,3.0,244.0,Clear,Sky is Clear,0
2014-01-02 00:00:00-05:00,235,444.0,False,272.1,270.37,274.26,1023.0,80.0,2.0,68.0,Clear,Sky is Clear,0
2014-01-02 01:00:00-05:00,146,228.0,False,272.1,270.37,274.26,1023.0,80.0,2.0,68.0,Clear,Sky is Clear,0
2014-01-02 02:00:00-05:00,137,246.0,False,272.17,270.37,274.26,1023.0,80.0,3.0,244.0,Clear,Sky is Clear,0
2014-01-02 03:00:00-05:00,62,109.0,False,271.68,270.37,273.71,1022.0,80.0,3.0,44.0,Clear,Sky is Clear,0
2014-01-02 04:00:00-05:00,66,110.0,False,271.63,269.82,273.71,1021.0,80.0,3.0,244.0,Clear,Sky is Clear,0
2014-01-02 05:00:00-05:00,48,72.0,False,270.98,269.26,272.59,1020.0,80.0,4.0,348.0,Snow,light snow,38
2014-01-02 06:00:00-05:00,29,44.0,False,270.32,268.71,272.15,1020.0,80.0,3.0,53.0,Snow,light snow,776
2014-01-02 07:00:00-05:00,112,194.0,False,270.18,268.15,272.04,1016.0,80.0,5.0,301.0,Clear,Sky is Clear,1131
2014-01-02 08:00:00-05:00,303,504.0,False,269.79,268.15,271.48,1019.0,80.0,4.0,1.0,Clear,Sky is Clear,844
2014-01-02 09:00:00-05:00,506,890.0,False,269.84,267.59,272.04,1019.0,80.0,4.0,338.0,Clear,Sky is Clear,521
2014-01-02 10:00:00-05:00,532,1010.0,False,269.62,267.59,271.48,1018.0,80.0,4.0,46.0,Clear,Sky is Clear,428
2014-01-02 11:00:00-05:00,600,1099.0,False,269.57,267.59,271.48,1016.0,80.0,4.0,347.0,Clear,Sky is Clear,1399
2014-01-02 12:00:00-05:00,613,1149.0,False,269.54,267.59,271.48,1014.0,80.0,4.0,1.0,Clear,Sky is Clear,496
2014-01-02 13:00:00-05:00,542,987.0,False,269.57,267.59,271.48,1013.0,80.0,3.0,0.0,Clear,Sky is Clear,946
2014-01-02 14:00:00-05:00,615,1118.0,False,269.03,266.48,270.93,1012.0,80.0,4.0,19.0,Clear,Sky is Clear,573
2014-01-02 15:00:00-05:00,485,848.0,False,268.9,266.48,270.93,1011.0,80.0,3.0,12.0,Haze,haze,698
2014-01-02 16:00:00-05:00,681,1253.0,False,268.58,265.37,270.93,1010.0,80.0,4.0,31.0,Clear,Sky is Clear,628
2014-01-02 17:00:00-05:00,600,1194.0,False,268.47,265.37,270.93,1009.0,88.0,5.0,36.0,Clear,Sky is Clear,334
2014-01-02 18:00:00-05:00,639,1214.0,False,267.68,265.37,270.37,1009.0,85.0,7.0,10.0,Snow,light snow,156
2014-01-02 19:00:00-05:00,449,812.0,False,267.68,265.37,270.37,1009.0,85.0,7.0,10.0,Snow,light snow,123
2014-01-02 20:00:00-05:00,291,518.0,False,267.35,264.26,269.82,1006.0,80.0,4.0,29.0,Rain,light rain,0
2014-01-02 21:00:00-05:00,223,435.0,False,266.59,264.15,268.71,1006.0,80.0,3.0,1.0,Rain,light rain,117
2014-01-02 22:00:00-05:00,178,341.0,False,265.77,262.59,268.71,1005.0,80.0,3.0,359.0,Rain,light rain,0
2014-01-02 23:00:00-05:00,119,241.0,False,264.64,261.48,268.15,1005.0,80.0,4.0,26.0,Rain,light rain,0
2014-01-03 00:00:00-05:00,95,149.0,False,264.12,261.48,267.04,1002.0,80.0,7.0,296.0,Rain,light rain,121
2014-01-03 01:00:00-05:00,72,115.0,False,263.39,260.93,265.93,968.0,87.0,3.0,244.0,Rain,light rain,0
2014-01-03 02:00:00-05:00,26,51.0,False,262.36,259.82,264.26,1004.0,80.0,6.0,348.0,Rain,light rain,0
2014-01-03 03:00:00-05:00,15,32.0,False,261.61,259.82,263.15,1004.0,80.0,2.0,136.0,Rain,light rain,0
2014-01-03 04:00:00-05:00,11,13.0,False,261.57,260.37,263.15,1006.0,80.0,2.0,242.0,Rain,light rain,0
2014-01-03 05:00:00-05:00,11,17.0,False,261.65,259.82,263.15,1006.0,91.0,5.0,323.0,Rain,moderate rain,117
2014-01-03 06:00:00-05:00,16,33.0,False,261.86,259.82,264.26,1009.0,80.0,2.0,245.0,Rain,light rain,363
2014-01-03 07:00:00-05:00,26,56.0,False,261.71,259.82,264.26,1010.0,87.0,4.0,351.0,Rain,light rain,234
2014-01-03 08:00:00-05:00,33,63.0,False,261.29,259.26,263.15,1013.0,80.0,1.0,23.0,Rain,light rain,321
2014-01-03 09:00:00-05:00,70,135.0,False,261.21,259.26,263.15,1015.0,80.0,4.0,291.0,Snow,light snow,286
2014-01-03 10:00:00-05:00,144,282.0,False,262.59,260.37,264.26,1017.0,80.0,2.0,291.0,Snow,light snow,1132
2014-01-03 11:00:00-05:00,250,467.0,False,263.87,262.59,265.37,1017.0,80.0,2.0,234.0,Rain,light rain,1023
2014-01-03 12:00:00-05:00,461,845.0,False,264.48,263.15,265.93,1018.0,80.0,4.0,266.0,Rain,light rain,1066
2014-01-03 13:00:00-05:00,454,884.0,False,264.81,263.15,266.48,1018.0,63.0,5.0,329.0,Rain,light rain,913
2014-01-03 14:00:00-05:00,524,969.0,False,264.68,263.15,265.93,1021.0,80.0,5.0,250.0,Rain,light rain,492
2014-01-03 15:00:00-05:00,600,1176.0,False,264.3,262.59,265.93,1023.0,80.0,3.0,271.0,Rain,light rain,1049
2014-01-03 16:00:00-05:00,628,1125.0,False,263.57,262.04,265.37,1023.0,56.0,3.0,319.0,Clear,Sky is Clear,199
2014-01-03 17:00:00-05:00,586,1087.0,False,262.83,260.93,264.82,1023.0,80.0,4.0,264.0,Clear,Sky is Clear,455
2014-01-03 18:00:00-05:00,618,1094.0,False,262.22,260.93,263.71,1027.0,55.0,3.0,318.0,Clear,Sky is Clear,1040
2014-01-03 19:00:00-05:00,510,928.0,False,261.49,259.82,262.59,1029.0,56.0,3.0,321.0,Clear,Sky is Clear,589
2014-01-03 20:00:00-05:00,592,1111.0,False,261.11,259.82,262.59,1030.0,52.0,4.0,322.0,Clear,Sky is Clear,709
2014-01-03 21:00:00-05:00,513,980.0,False,260.43,258.15,262.59,1032.0,46.0,5.0,310.0,Clear,sky is clear,0
2014-01-03 22:00:00-05:00,548,1029.0,False,260.43,258.15,262.59,1032.0,46.0,5.0,310.0,Clear,sky is clear,353
2014-01-03 23:00:00-05:00,676,1217.0,False,259.86,258.15,261.48,1032.0,80.0,1.0,280.0,Clear,Sky is Clear,0
2014-01-04 00:00:00-05:00,403,729.0,False,259.53,257.59,261.48,1032.0,66.0,2.0,42.0,Clear,Sky is Clear,121
2014-01-04 01:00:00-05:00,183,350.0,False,258.98,256.48,262.04,1032.0,80.0,0.0,208.0,Clear,Sky is Clear,0
2014-01-04 02:00:00-05:00,87,172.0,False,258.83,255.37,261.48,1031.0,74.0,3.0,244.0,Clear,Sky is Clear,0
2014-01-04 03:00:00-05:00,39,80.0,False,258.36,255.37,261.48,1032.0,80.0,1.0,276.0,Clear,Sky is Clear,0
2014-01-04 04:00:00-05:00,17,26.0,False,258.9,255.93,263.15,1033.0,80.0,1.0,277.0,Clear,Sky is Clear,0
2014-01-04 05:00:00-05:00,43,96.0,False,258.4,255.37,262.04,1033.0,80.0,0.0,278.0,Clear,Sky is Clear,0
2014-01-04 06:00:00-05:00,50,97.0,False,258.33,255.37,263.15,1033.0,80.0,3.0,244.0,Clear,Sky is Clear,114
2014-01-04 07:00:00-05:00,88,133.0,False,258.73,255.37,263.15,1033.0,75.0,0.0,258.0,Clear,Sky is Clear,1360
2014-01-04 08:00:00-05:00,194,320.0,False,258.78,255.93,262.59,1034.0,80.0,0.0,218.0,Clear,Sky is Clear,439
2014-01-04 09:00:00-05:00,272,528.0,False,261.42,257.04,265.93,1033.0,71.0,1.0,258.0,Clear,Sky is Clear,582
2014-01-04 10:00:00-05:00,331,591.0,False,263.73,260.93,266.48,1034.0,80.0,2.0,222.0,Clear,Sky is Clear,431
2014-01-04 11:00:00-05:00,476,866.0,False,265.12,262.04,268.15,1033.0,80.0,2.0,240.0,Clear,Sky is Clear,670
2014-01-04 12:00:00-05:00,455,807.0,False,267.13,264.82,269.26,1032.0,80.0,2.0,237.0,Clear,Sky is Clear,466
2014-01-04 13:00:00-05:00,403,741.0,False,268.22,266.48,269.82,1031.0,80.0,1.0,238.0,Rain,light rain,315
2014-01-04 14:00:00-05:00,417,768.0,False,268.93,267.04,270.93,1029.0,40.0,3.0,211.0,Rain,light rain,722
2014-01-04 15:00:00-05:00,357,657.0,False,269.25,267.59,270.37,1029.0,80.0,2.0,233.0,Rain,light rain,739
2014-01-04 16:00:00-05:00,354,687.0,False,269.08,267.04,271.48,1025.0,80.0,1.0,180.0,Rain,light rain,578
2014-01-04 17:00:00-05:00,432,752.0,False,268.67,267.04,270.93,1028.0,80.0,0.0,212.0,Rain,light rain,946
2014-01-04 18:00:00-05:00,563,1063.0,False,267.14,263.71,270.93,1024.0,80.0,0.0,180.0,Clear,Sky is Clear,873
2014-01-04 19:00:00-05:00,487,849.0,False,267.14,263.71,270.93,1024.0,80.0,0.0,180.0,Clear,Sky is Clear,804
2014-01-04 20:00:00-05:00,396,696.0,False,267.04,262.59,271.48,1027.0,62.0,1.0,232.0,Clear,Sky is Clear,381
2014-01-04 21:00:00-05:00,324,588.0,False,267.27,260.93,273.71,1026.0,61.0,3.0,244.0,Clear,Sky is Clear,252
2014-01-04 22:00:00-05:00,422,710.0,False,266.29,260.93,271.48,1027.0,80.0,1.0,238.0,Clear,Sky is Clear,609
2014-01-04 23:00:00-05:00,443,773.0,False,266.6,260.37,272.04,1027.0,80.0,0.0,264.0,Clear,Sky is Clear,76
2014-01-05 00:00:00-05:00,293,523.0,False,265.7,259.26,271.48,1027.0,80.0,1.0,224.0,Clear,Sky is Clear,0
2014-01-05 01:00:00-05:00,177,324.0,False,263.98,258.15,270.37,1026.0,80.0,0.0,242.0,Clear,Sky is Clear,0
2014-01-05 02:00:00-05:00,184,352.0,False,264.76,257.15,271.48,1026.0,80.0,3.0,244.0,Clear,Sky is Clear,0
2014-01-05 03:00:00-05:00,90,178.0,False,264.69,258.15,270.93,1022.0,80.0,1.0,279.0,Clear,Sky is Clear,0
2014-01-05 04:00:00-05:00,44,83.0,False,264.29,257.15,272.04,1025.0,85.0,1.0,232.0,Clear,Sky is Clear,0
2014-01-05 05:00:00-05:00,21,38.0,False,264.66,257.15,270.93,1026.0,80.0,1.0,224.0,Clear,Sky is Clear,0
2014-01-05 06:00:00-05:00,30,39.0,False,265.03,257.15,272.59,1026.0,80.0,1.0,248.0,Clear,Sky is Clear,780
2014-01-05 07:00:00-05:00,36,60.0,False,264.8,257.04,272.04,1026.0,80.0,0.0,247.0,Clear,Sky is Clear,929
2014-01-05 08:00:00-05:00,174,280.0,False,266.21,258.15,273.71,1025.0,82.0,3.0,244.0,Clear,Sky is Clear,752
