,num_pickups,num_passengers,missing_dt,temp,temp_min,temp_max,humidity,wind_speed,weather_main,weather_description,Passengers,Month,Hour,Day,holiday
2014-01-01 00:00:00-05:00,107.0,210.0,False,269.27,267.59,270.93,80.0,3.0,clear,sky is clear,108.0,1,0,2,True
2014-01-01 01:00:00-05:00,34.0,45.0,False,268.9,267.04,270.93,80.0,2.0,clear,sky is clear,0.0,1,1,2,True
2014-01-01 02:00:00-05:00,34.0,70.0,False,268.48,266.48,270.37,57.0,3.0,clear,sky is clear,0.0,1,2,2,True
2014-01-01 03:00:00-05:00,12.0,18.0,False,268.33,265.93,270.37,80.0,3.0,clear,sky is clear,0.0,1,3,2,True
2014-01-01 04:00:00-05:00,25.0,37.0,False,268.1,265.37,270.37,80.0,3.0,clear,sky is clear,0.0,1,4,2,True
2014-01-01 05:00:00-05:00,16.0,24.0,False,268.02,265.37,270.37,80.0,1.0,clear,sky is clear,243.0,1,5,2,True
2014-01-01 06:00:00-05:00,14.0,17.0,False,267.9,265.37,270.37,80.0,1.0,clear,sky is clear,141.0,1,6,2,True
2014-01-01 07:00:00-05:00,21.0,35.0,False,267.59,263.71,270.37,80.0,1.0,clear,sky is clear,717.0,1,7,2,True
2014-01-01 08:00:00-05:00,94.0,190.0,False,267.67,264.26,270.37,80.0,0.0,clear,sky is clear,797.0,1,8,2,True
2014-01-01 09:00:00-05:00,164.0,285.0,False,269.0,265.37,272.04,80.0,1.0,clear,sky is clear,761.0,1,9,2,True
2014-01-01 10:00:00-05:00,379.0,673.0,False,270.65,268.71,272.59,63.0,3.0,clear,sky is clear,778.0,1,10,2,True
2014-01-01 11:00:00-05:00,367.0,703.0,False,271.41,269.26,272.59,80.0,1.0,clear,sky is clear,793.0,1,11,2,True
2014-01-01 12:00:00-05:00,450.0,836.0,False,272.22,270.93,273.71,80.0,3.0,clear,sky is clear,802.0,1,12,2,True
2014-01-01 13:00:00-05:00,430.0,722.0,False,272.52,271.48,273.71,80.0,3.0,clear,sky is clear,1282.0,1,13,2,True
2014-01-01 14:00:00-05:00,455.0,856.0,False,273.16,272.04,274.82,80.0,1.0,clear,sky is clear,771.0,1,14,2,True
2014-01-01 15:00:00-05:00,565.0,1070.0,False,273.32,272.04,274.82,80.0,1.0,clear,sky is clear,840.0,1,15,2,True
2014-01-01 16:00:00-05:00,542.0,995.0,False,273.32,272.04,274.82,80.0,0.0,clear,sky is clear,482.0,1,16,2,True
2014-01-01 17:00:00-05:00,669.0,1227.0,False,272.83,272.04,274.26,80.0,3.0,clear,sky is clear,692.0,1,17,2,True
