ARR_DATETIME,Avg_Delay_Arriving,Avg_Delay_Departing
2014-01-01 03:00:00,291.0,
2014-01-01 04:00:00,,
2014-01-01 05:00:00,,0.0
2014-01-01 06:00:00,,2.16666666667
2014-01-01 07:00:00,0.0,1.52941176471
2014-01-01 08:00:00,2.66666666667,8.5
2014-01-01 09:00:00,6.25,5.11764705882
2014-01-01 10:00:00,5.91666666667,4.75
2014-01-01 11:00:00,1.875,3.95
2014-01-01 12:00:00,5.5,7.21428571429
2014-01-01 13:00:00,66.7058823529,6.3
2014-01-01 14:00:00,19.5555555556,18.2222222222
2014-01-01 15:00:00,6.0,8.8125
2014-01-01 16:00:00,15.9333333333,26.75
2014-01-01 17:00:00,23.0909090909,27.1176470588
2014-01-01 18:00:00,11.3333333333,38.9473684211
2014-01-01 19:00:00,11.5384615385,33.1111111111
2014-01-01 20:00:00,28.0,51.0
2014-01-01 21:00:00,24.8888888889,83.0
2014-01-01 22:00:00,29.5714285714,76.0
2014-01-01 23:00:00,49.7142857143,201.0
2014-01-02 00:00:00,98.0,
2014-01-02 01:00:00,168.5,
2014-01-02 02:00:00,210.0,
2014-01-02 03:00:00,,
2014-01-02 04:00:00,,
2014-01-02 05:00:00,,0.0
2014-01-02 06:00:00,,5.05882352941
2014-01-02 07:00:00,0.0,10.5333333333
2014-01-02 08:00:00,4.44444444444,15.9047619048
2014-01-02 09:00:00,7.09090909091,21.95
2014-01-02 10:00:00,18.1764705882,19.5714285714
2014-01-02 11:00:00,45.4375,68.8888888889
2014-01-02 12:00:00,45.0,56.7333333333
2014-01-02 13:00:00,15.5,61.25
2014-01-02 14:00:00,27.5789473684,56.5263157895
2014-01-02 15:00:00,46.25,32.7894736842
2014-01-02 16:00:00,37.1052631579,60.3
2014-01-02 17:00:00,60.75,69.3529411765
2014-01-02 18:00:00,81.125,94.8333333333
2014-01-02 19:00:00,82.0,114.894736842
2014-01-02 20:00:00,78.5,150.666666667
2014-01-02 21:00:00,63.6666666667,115.0
2014-01-02 22:00:00,78.0,145.0
2014-01-02 23:00:00,34.0,128.0
2014-01-03 00:00:00,77.0,314.0
2014-01-03 01:00:00,,
2014-01-03 02:00:00,193.0,
2014-01-03 03:00:00,,
2014-01-03 04:00:00,,
2014-01-03 05:00:00,,
2014-01-03 06:00:00,,
2014-01-03 07:00:00,,
2014-01-03 08:00:00,,
2014-01-03 09:00:00,39.0,223.0
