dt,CalendarYear,Day,Time,Avg Total Time,Max Total Time,Max # of PAX in Line
2017-06-07 16:05:00,2017,2017-06-07,16:05:00,0,0,0
2017-06-07 16:10:00,2017,2017-06-07,16:10:00,0,0,0
2017-06-07 16:15:00,2017,2017-06-07,16:15:00,0,0,0
2017-06-07 16:20:00,2017,2017-06-07,16:20:00,0,0,0
2017-06-07 16:25:00,2017,2017-06-07,16:25:00,0,0,0
2017-06-07 16:30:00,2017,2017-06-07,16:30:00,0,0,0
2017-06-07 16:35:00,2017,2017-06-07,16:35:00,0,0,0
2017-06-07 16:40:00,2017,2017-06-07,16:40:00,0,0,0
2017-06-07 16:45:00,2017,2017-06-07,16:45:00,0,0,0
2017-06-07 16:50:00,2017,2017-06-07,16:50:00,0,0,0
2017-06-07 16:55:00,2017,2017-06-07,16:55:00,0,0,0
2017-06-07 17:00:00,2017,2017-06-07,17:00:00,0,0,0
2017-06-07 17:05:00,2017,2017-06-07,17:05:00,0,0,0
2017-06-07 17:10:00,2017,2017-06-07,17:10:00,0,0,0
2017-06-07 17:15:00,2017,2017-06-07,17:15:00,0,0,0
2017-06-07 17:20:00,2017,2017-06-07,17:20:00,0,0,0
2017-06-07 17:25:00,2017,2017-06-07,17:25:00,0,0,0
2017-06-07 17:30:00,2017,2017-06-07,17:30:00,0,0,0
2017-06-07 17:35:00,2017,2017-06-07,17:35:00,0,0,0
2017-06-07 17:40:00,2017,2017-06-07,17:40:00,0,0,0
2017-06-07 17:45:00,2017,2017-06-07,17:45:00,0,0,0
2017-06-07 17:50:00,2017,2017-06-07,17:50:00,0,0,0
2017-06-07 17:55:00,2017,2017-06-07,17:55:00,0,0,0
2017-06-07 18:10:00,2017,2017-06-07,18:10:00,0,0,0
2017-06-07 18:15:00,2017,2017-06-07,18:15:00,0,0,0
2017-06-07 18:20:00,2017,2017-06-07,18:20:00,0,0,0
2017-06-07 18:25:00,2017,2017-06-07,18:25:00,0,0,0
2017-06-07 18:30:00,2017,2017-06-07,18:30:00,0,0,0
2017-06-07 18:35:00,2017,2017-06-07,18:35:00,0,0,0
2017-06-07 18:40:00,2017,2017-06-07,18:40:00,0,0,0
2017-06-07 18:45:00,2017,2017-06-07,18:45:00,0,0,0
2017-06-07 18:50:00,2017,2017-06-07,18:50:00,0,0,0
2017-06-07 18:55:00,2017,2017-06-07,18:55:00,0,0,0
2017-06-07 19:00:00,2017,2017-06-07,19:00:00,0,0,0
2017-06-07 19:05:00,2017,2017-06-07,19:05:00,0,0,0
2017-06-07 19:10:00,2017,2017-06-07,19:10:00,0,0,0
2017-06-07 19:15:00,2017,2017-06-07,19:15:00,0,0,0
2017-06-07 19:20:00,2017,2017-06-07,19:20:00,0,0,0
2017-06-07 19:25:00,2017,2017-06-07,19:25:00,0,0,0
2017-06-07 19:30:00,2017,2017-06-07,19:30:00,0,0,0
2017-06-07 19:35:00,2017,2017-06-07,19:35:00,0,0,0
2017-06-07 19:40:00,2017,2017-06-07,19:40:00,0,0,0
2017-06-07 19:45:00,2017,2017-06-07,19:45:00,0,0,0
2017-06-07 19:50:00,2017,2017-06-07,19:50:00,0,0,0
2017-06-07 19:55:00,2017,2017-06-07,19:55:00,0,0,0
2017-06-07 20:00:00,2017,2017-06-07,20:00:00,0,0,0
2017-06-07 20:05:00,2017,2017-06-07,20:05:00,0,0,0
2017-06-07 20:10:00,2017,2017-06-07,20:10:00,0,0,0
2017-06-07 20:15:00,2017,2017-06-07,20:15:00,0,0,0
2017-06-07 20:20:00,2017,2017-06-07,20:20:00,0,0,0
2017-06-07 20:25:00,2017,2017-06-07,20:25:00,0,0,0
2017-06-07 20:30:00,2017,2017-06-07,20:30:00,0,0,0
2017-06-07 20:35:00,2017,2017-06-07,20:35:00,0,0,0
2017-06-07 20:40:00,2017,2017-06-07,20:40:00,0,0,0
2017-06-07 20:45:00,2017,2017-06-07,20:45:00,0,0,0
2017-06-07 20:50:00,2017,2017-06-07,20:50:00,0,0,0
2017-06-07 20:55:00,2017,2017-06-07,20:55:00,0,0,0
2017-06-07 21:00:00,2017,2017-06-07,21:00:00,0,0,0
2017-06-07 21:05:00,2017,2017-06-07,21:05:00,0,0,0
2017-06-07 21:10:00,2017,2017-06-07,21:10:00,0,0,0
2017-06-07 21:15:00,2017,2017-06-07,21:15:00,0,0,0
2017-06-07 21:20:00,2017,2017-06-07,21:20:00,0,0,0
2017-06-07 21:25:00,2017,2017-06-07,21:25:00,0,0,0
2017-06-07 21:30:00,2017,2017-06-07,21:30:00,0,0,0
2017-06-07 21:35:00,2017,2017-06-07,21:35:00,0,0,0
2017-06-07 21:40:00,2017,2017-06-07,21:40:00,0,0,0
2017-06-07 21:45:00,2017,2017-06-07,21:45:00,0,0,0
2017-06-07 21:50:00,2017,2017-06-07,21:50:00,0,0,0
2017-06-07 21:55:00,2017,2017-06-07,21:55:00,0,0,0
2017-06-07 22:00:00,2017,2017-06-07,22:00:00,0,0,0
2017-06-07 22:05:00,2017,2017-06-07,22:05:00,0,0,0
2017-06-07 22:10:00,2017,2017-06-07,22:10:00,0,0,0
2017-06-07 22:15:00,2017,2017-06-07,22:15:00,0,0,0
2017-06-07 22:20:00,2017,2017-06-07,22:20:00,0,0,0
2017-06-07 22:25:00,2017,2017-06-07,22:25:00,0,0,0
2017-06-07 22:30:00,2017,2017-06-07,22:30:00,0,0,0
2017-06-07 22:35:00,2017,2017-06-07,22:35:00,0,0,0
2017-06-07 22:40:00,2017,2017-06-07,22:40:00,0,0,0
2017-06-07 22:45:00,2017,2017-06-07,22:45:00,0,0,0
2017-06-07 22:50:00,2017,2017-06-07,22:50:00,0,0,0
2017-06-07 22:55:00,2017,2017-06-07,22:55:00,0,0,0
2017-06-07 23:00:00,2017,2017-06-07,23:00:00,0,0,0
2017-06-07 23:05:00,2017,2017-06-07,23:05:00,0,0,0
2017-06-07 23:10:00,2017,2017-06-07,23:10:00,0,0,0
2017-06-07 23:15:00,2017,2017-06-07,23:15:00,0,0,0
2017-06-07 23:20:00,2017,2017-06-07,23:20:00,0,0,0
2017-06-07 23:25:00,2017,2017-06-07,23:25:00,0,0,0
2017-06-07 23:30:00,2017,2017-06-07,23:30:00,0,0,0
2017-06-07 23:35:00,2017,2017-06-07,23:35:00,0,0,0
2017-06-07 23:40:00,2017,2017-06-07,23:40:00,0,0,0
2017-06-07 23:45:00,2017,2017-06-07,23:45:00,0,0,0
2017-06-07 23:50:00,2017,2017-06-07,23:50:00,0,0,0
2017-06-07 23:55:00,2017,2017-06-07,23:55:00,0,0,0
2017-06-08 00:00:00,2017,2017-06-08,00:00:00,0,0,0
2017-06-08 00:05:00,2017,2017-06-08,00:05:00,0,0,0
2017-06-08 00:10:00,2017,2017-06-08,00:10:00,0,0,0
2017-06-08 00:15:00,2017,2017-06-08,00:15:00,0,0,0
2017-06-08 00:20:00,2017,2017-06-08,00:20:00,0,0,0
2017-06-08 00:25:00,2017,2017-06-08,00:25:00,0,0,0
2017-06-08 00:30:00,2017,2017-06-08,00:30:00,0,0,0
2017-06-08 00:35:00,2017,2017-06-08,00:35:00,0,0,0
2017-06-08 00:40:00,2017,2017-06-08,00:40:00,0,0,0
2017-06-08 00:45:00,2017,2017-06-08,00:45:00,0,0,0
2017-06-08 00:50:00,2017,2017-06-08,00:50:00,0,0,0
2017-06-08 00:55:00,2017,2017-06-08,00:55:00,0,0,0
2017-06-08 01:00:00,2017,2017-06-08,01:00:00,0,0,0
2017-06-08 01:05:00,2017,2017-06-08,01:05:00,0,0,0
2017-06-08 01:10:00,2017,2017-06-08,01:10:00,0,0,0
2017-06-08 01:15:00,2017,2017-06-08,01:15:00,0,0,0
2017-06-08 01:20:00,2017,2017-06-08,01:20:00,0,0,0
2017-06-08 01:25:00,2017,2017-06-08,01:25:00,0,0,0
2017-06-08 01:30:00,2017,2017-06-08,01:30:00,0,0,0
2017-06-08 01:35:00,2017,2017-06-08,01:35:00,0,0,0
2017-06-08 01:40:00,2017,2017-06-08,01:40:00,0,0,0
2017-06-08 01:45:00,2017,2017-06-08,01:45:00,0,0,0
2017-06-08 01:50:00,2017,2017-06-08,01:50:00,0,0,0
2017-06-08 01:55:00,2017,2017-06-08,01:55:00,0,0,0
