,Estimated Passenger Count
2014-01-01 00:00:00,108
2014-01-01 01:00:00,0
2014-01-01 02:00:00,0
2014-01-01 03:00:00,0
2014-01-01 04:00:00,0
2014-01-01 05:00:00,243
2014-01-01 06:00:00,141
2014-01-01 07:00:00,717
2014-01-01 08:00:00,797
2014-01-01 09:00:00,761
2014-01-01 10:00:00,778
2014-01-01 11:00:00,793
2014-01-01 12:00:00,802
2014-01-01 13:00:00,1282
2014-01-01 14:00:00,771
2014-01-01 15:00:00,840
2014-01-01 16:00:00,482
2014-01-01 17:00:00,692
2014-01-01 18:00:00,491
2014-01-01 19:00:00,686
2014-01-01 20:00:00,724
2014-01-01 21:00:00,325
2014-01-01 22:00:00,199
2014-01-01 23:00:00,0
2014-01-02 00:00:00,0
2014-01-02 01:00:00,0
2014-01-02 02:00:00,0
2014-01-02 03:00:00,0
2014-01-02 04:00:00,0
2014-01-02 05:00:00,38
2014-01-02 06:00:00,776
2014-01-02 07:00:00,1131
2014-01-02 08:00:00,844
2014-01-02 09:00:00,521
2014-01-02 10:00:00,428
2014-01-02 11:00:00,1399
2014-01-02 12:00:00,496
2014-01-02 13:00:00,946
2014-01-02 14:00:00,573
2014-01-02 15:00:00,698
2014-01-02 16:00:00,628
2014-01-02 17:00:00,334
2014-01-02 18:00:00,156
2014-01-02 19:00:00,123
2014-01-02 20:00:00,0
2014-01-02 21:00:00,117
2014-01-02 22:00:00,0
2014-01-02 23:00:00,0
2014-01-03 00:00:00,121
2014-01-03 01:00:00,0
2014-01-03 02:00:00,0
2014-01-03 03:00:00,0
2014-01-03 04:00:00,0
2014-01-03 05:00:00,117
2014-01-03 06:00:00,363
2014-01-03 07:00:00,234
2014-01-03 08:00:00,321
2014-01-03 09:00:00,286
2014-01-03 10:00:00,1132
2014-01-03 11:00:00,1023
2014-01-03 12:00:00,1066
2014-01-03 13:00:00,913
2014-01-03 14:00:00,492
2014-01-03 15:00:00,1049
2014-01-03 16:00:00,199
2014-01-03 17:00:00,455
2014-01-03 18:00:00,1040
2014-01-03 19:00:00,589
2014-01-03 20:00:00,709
2014-01-03 21:00:00,0
2014-01-03 22:00:00,353
2014-01-03 23:00:00,0
2014-01-04 00:00:00,121
2014-01-04 01:00:00,0
2014-01-04 02:00:00,0
2014-01-04 03:00:00,0
2014-01-04 04:00:00,0
2014-01-04 05:00:00,0
2014-01-04 06:00:00,114
2014-01-04 07:00:00,1360
2014-01-04 08:00:00,439
2014-01-04 09:00:00,582
2014-01-04 10:00:00,431
2014-01-04 11:00:00,670
2014-01-04 12:00:00,466
2014-01-04 13:00:00,315
2014-01-04 14:00:00,722
2014-01-04 15:00:00,739
2014-01-04 16:00:00,578
2014-01-04 17:00:00,946
2014-01-04 18:00:00,873
2014-01-04 19:00:00,804
2014-01-04 20:00:00,381
2014-01-04 21:00:00,252
2014-01-04 22:00:00,609
2014-01-04 23:00:00,76
2014-01-05 00:00:00,0
2014-01-05 01:00:00,0
2014-01-05 02:00:00,0
2014-01-05 03:00:00,0
2014-01-05 04:00:00,0
2014-01-05 05:00:00,0
2014-01-05 06:00:00,780
2014-01-05 07:00:00,929
2014-01-05 08:00:00,752
2014-01-05 09:00:00,331
2014-01-05 10:00:00,338
2014-01-05 11:00:00,704
2014-01-05 12:00:00,907
2014-01-05 13:00:00,76
2014-01-05 14:00:00,226
2014-01-05 15:00:00,1195
2014-01-05 16:00:00,578
2014-01-05 17:00:00,908
2014-01-05 18:00:00,328
2014-01-05 19:00:00,442
2014-01-05 20:00:00,231
2014-01-05 21:00:00,108
2014-01-05 22:00:00,197
2014-01-05 23:00:00,0
2014-01-06 00:00:00,0
2014-01-06 01:00:00,0
2014-01-06 02:00:00,0
2014-01-06 03:00:00,0
2014-01-06 04:00:00,0
2014-01-06 05:00:00,0
2014-01-06 06:00:00,465
2014-01-06 07:00:00,670
2014-01-06 08:00:00,910
2014-01-06 09:00:00,689
2014-01-06 10:00:00,810
2014-01-06 11:00:00,667
2014-01-06 12:00:00,751
2014-01-06 13:00:00,911
2014-01-06 14:00:00,548
