,Airline,Aircraft,Seats
0,American_Airlines,Airbus A330-200 (332),258
1,American_Airlines,Airbus A330-300 (333),291
2,American_Airlines,Boeing 767-300 (763) V1,218
3,American_Airlines,Boeing 767-300 (763) V2,209
4,American_Airlines,Boeing 777-200 (777) V1,247
5,American_Airlines,Boeing 777-200 (777) V2,260
6,American_Airlines,Boeing 777-200 (777) V3,289
7,American_Airlines,Boeing 777-300ER (77W),310
8,American_Airlines,Boeing 787-8 (788),226
9,American_Airlines,Boeing 787-9 (789),285
10,American_Airlines,Airbus A319 (319) V1,128
11,American_Airlines,Airbus A319 (319) V2,128
12,American_Airlines,Airbus A320 (320),150
13,American_Airlines,Airbus A321 (321) V3,187
14,American_Airlines,Airbus A321 (32B) V1 Transcon ,102
15,American_Airlines,Airbus A321 (32B) V2,181
16,American_Airlines,Boeing 737-800 (738) V1,154
17,American_Airlines,Boeing 737-800 (738) V2,160
18,American_Airlines,Boeing 757-200 (752) Domestic MCE,184
19,American_Airlines,Boeing 757-200 (752) International,176
20,American_Airlines,Boeing 757-200 (752) V3,190
21,American_Airlines,Boeing 757-200 (752) V4,176
22,American_Airlines,Embraer ERJ-170 (E70),69
23,American_Airlines,Embraer ERJ-175 (E75) V1,76
24,American_Airlines,Embraer ERJ-175 (E75) V2,80
25,American_Airlines,Embraer ERJ-190 (E90),99
26,American_Airlines,McDonnell Douglas MD-80 (M80),140
27,American_Airlines,Bombardier CRJ-200 (CR2),50
28,American_Airlines,Bombardier CRJ-700 (CR7) V1,63
29,American_Airlines,Bombardier CRJ-700 (CR7) V2,65
30,American_Airlines,Bombardier CRJ-700 (CR7) V3,67
31,American_Airlines,Bombardier CRJ-700 (CR7) V4,70
32,American_Airlines,Bombardier CRJ-900 (CR9) V1,76
33,American_Airlines,Bombardier CRJ-900 (CR9) V2,79
34,American_Airlines,Bombardier CRJ-900 (CR9) V3,76
35,American_Airlines,Embraer ERJ-140 (ERD),44
36,American_Airlines,Embraer ERJ-145 (ER4),50
37,American_Airlines,de Havilland Dash 8 (DH1),37
38,American_Airlines,de Havilland Dash 8 (DH3),46
39,Delta_Airlines,Airbus A330-200 (332),234
40,Delta_Airlines,Airbus A330-300 (333),293
41,Delta_Airlines,Boeing 747-400 (744),376
42,Delta_Airlines,Boeing 767-300 (76P/76Q),261
43,Delta_Airlines,Boeing 767-300ER (76H/76Z),226
44,Delta_Airlines,Boeing 767-300ER (76L),211
45,Delta_Airlines,Boeing 767-300ER (76T/76W),208
46,Delta_Airlines,Boeing 767-300ER (76Z) V2,226
47,Delta_Airlines,Boeing 767-400ER (76D),246
48,Delta_Airlines,Boeing 777-200ER/LR (77L),291
49,Delta_Airlines,Airbus A319 (319) V1,126
50,Delta_Airlines,Airbus A319 (319) V2,132
51,Delta_Airlines,Airbus A320 (320/32K) V2,160
52,Delta_Airlines,Airbus A320 (320/32R) V1,150
53,Delta_Airlines,Airbus A321 (321),192
54,Delta_Airlines,Boeing 717-200 (717),110
55,Delta_Airlines,Boeing 737-700 (73W),124
56,Delta_Airlines,Boeing 737-800 (73H),160
57,Delta_Airlines,Boeing 737-900ER (739) ,180
58,Delta_Airlines,Boeing 757-200 (757),180
59,Delta_Airlines,Boeing 757-200 (75D) ,199
60,Delta_Airlines,Boeing 757-200 (75G),169
61,Delta_Airlines,Boeing 757-200 (75S) ,168
62,Delta_Airlines,Boeing 757-300 (75Y),234
63,Delta_Airlines,Embraer E-170 (E70),69
64,Delta_Airlines,Embraer E-175 (E75),76
65,Delta_Airlines,McDonnell Douglas MD-88 (M88),149
66,Delta_Airlines,McDonnell Douglas MD-90 (M90),160
67,Delta_Airlines,Bombardier CRJ-100 (CRJ),50
68,Delta_Airlines,Bombardier CRJ-100/200,50
69,Delta_Airlines,Bombardier CRJ-700 (CR7) V1,65
70,Delta_Airlines,Bombardier CRJ-700 (CR7) V2,70
71,Delta_Airlines,Bombardier CRJ-700 (CR7) V3,69
72,Delta_Airlines,Bombardier CRJ-900 (CR9),76
73,Delta_Airlines,Embraer ERJ-145,50
74,Alaska_Airlines,Boeing 737-400 (734),144
75,Alaska_Airlines,Boeing 737-400 (734) Combi,72
76,Alaska_Airlines,Boeing 737-700 (737),124
77,Alaska_Airlines,Boeing 737-800 (738) Slimline V1,163
78,Alaska_Airlines,Boeing 737-800 (738) Slimline V2,159
79,Alaska_Airlines,Boeing 737-900 (739) V1,181
80,Alaska_Airlines,Boeing 737-900 (739) V2,178
81,Alaska_Airlines,Embraer 175 (E75),76
82,Alaska_Airlines,Bombardier CRJ-700,70
83,Alaska_Airlines,Bombardier Q400,76
84,JetBlue_Airways,Airbus A320 (320),150
85,JetBlue_Airways,Airbus A321 (321) Transcon,159
86,JetBlue_Airways,Airbus A321 (321) V1,190
87,JetBlue_Airways,Airbus A321 (321) V3,200
88,JetBlue_Airways,Embraer E-190 (E90),100
89,Virgin_America,Airbus A319 (319),119
90,Virgin_America,Airbus A320 (320) V1,149
91,Virgin_America,Airbus A320 (320) V2,146
92,Virgin_America,Airbus A321 (321),185
93,Hawaiian_Airlines,Airbus A330-200 (332) V1,294
94,Hawaiian_Airlines,Airbus A330-200 (332) V2,278
95,Hawaiian_Airlines,Boeing 767-300ER (763) V1,252
96,Hawaiian_Airlines,Boeing 767-300ER (763) V2,259
97,Hawaiian_Airlines,Airbus A321neo (321),189
98,Hawaiian_Airlines,Boeing 717-200 (717),128
99,Hawaiian_Airlines,Aerospatiale ATR-42,48
100,Sun_Country,Boeing 737-700 (73G),126
101,Sun_Country,Boeing 737-800 (738),162
102,American_Airlines,Airbus A330-200 (332),258
103,American_Airlines,Airbus A330-300 (333),291
104,American_Airlines,Boeing 767-300 (763) V1,218
105,American_Airlines,Boeing 767-300 (763) V2,209
106,American_Airlines,Boeing 777-200 (777) V1,247
107,American_Airlines,Boeing 777-200 (777) V2,260
108,American_Airlines,Boeing 777-200 (777) V3,289
109,American_Airlines,Boeing 777-300ER (77W),310
110,American_Airlines,Boeing 787-8 (788),226
111,American_Airlines,Boeing 787-9 (789),285
112,American_Airlines,Airbus A319 (319) V1,128
113,American_Airlines,Airbus A319 (319) V2,128
114,American_Airlines,Airbus A320 (320),150
115,American_Airlines,Airbus A321 (321) V3,187
