,airline,manufacturer,model
7819A,737-7Q8,BOEING,737-7Q8
7820L,737-79P,BOEING,737-79P
N102AA,A-1B,AVIAT AIRCRAFT INC,A-1B
N102UW,A320-214,AIRBUS INDUSTRIE,A320-214
N103AA,A-1B,AVIAT AIRCRAFT INC,A-1B
N103SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N103US,A320-214,AIRBUS INDUSTRIE,A320-214
N104UW,A320-214,AIRBUS INDUSTRIE,A320-214
N10575,EMB-145LR,EMBRAER,EMB-145LR
N105AA,R182,CESSNA,R182
N105SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N105UW,A320-214,AIRBUS INDUSTRIE,A320-214
N106SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N107SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N107US,A320-214,AIRBUS INDUSTRIE,A320-214
N108AA,ANTARES MA 32,COURTNEY GERALD L,ANTARES MA 32
N108SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N108UW,A320-214,AIRBUS INDUSTRIE,A320-214
N109AA,A-1B,AVIAT AIRCRAFT INC,A-1B
N109SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N109UW,A320-214,AIRBUS INDUSTRIE,A320-214
N110AA,MARK III XTRA,BIGELOW MICHAEL A,MARK III XTRA
N110SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N110UW,A320-214,AIRBUS INDUSTRIE,A320-214
N11107,EMB-145XR,EMBRAER,EMB-145XR
N11109,EMB-145XR,EMBRAER,EMB-145XR
N11127,EMB-145XR,EMBRAER,EMB-145XR
N11140,EMB-145XR,EMBRAER,EMB-145XR
N11150,EMB-145XR,EMBRAER,EMB-145XR
N11164,EMB-145XR,EMBRAER,EMB-145XR
N11165,EMB-145XR,EMBRAER,EMB-145XR
N11176,EMB-145XR,EMBRAER,EMB-145XR
N11181,EMB-145XR,EMBRAER,EMB-145XR
N11184,EMB-145XR,EMBRAER,EMB-145XR
N11187,EMB-145XR,EMBRAER,EMB-145XR
N11189,EMB-145XR,EMBRAER,EMB-145XR
N11191,EMB-145XR,EMBRAER,EMB-145XR
N11192,EMB-145XR,EMBRAER,EMB-145XR
N11193,EMB-145XR,EMBRAER,EMB-145XR
N11194,EMB-145XR,EMBRAER,EMB-145XR
N11199,EMB-145XR,EMBRAER,EMB-145XR
N111AA,F90,BEECH,F90
N111US,A320-214,AIRBUS INDUSTRIE,A320-214
N11206,737-824,BOEING,737-824
N112AA,500-B,AERO COMMANDER,500-B
N112US,A320-214,AIRBUS INDUSTRIE,A320-214
N113SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N114AA,A60,BEECH,A60
N114SY,ERJ 170-200 LR,EMBRAER,ERJ 170-200 LR
N114UW,A320-214,AIRBUS INDUSTRIE,A320-214
N11535,EMB-145LR,EMBRAER,EMB-145LR
N11536,EMB-145LR,EMBRAER,EMB-145LR
N11539,EMB-145LR,EMBRAER,EMB-145LR
N11544,EMB-145LR,EMBRAER,EMB-145LR
N11547,EMB-145LR,EMBRAER,EMB-145LR
N11548,EMB-145LR,EMBRAER,EMB-145LR
N11551,EMB-145LR,EMBRAER,EMB-145LR
N11565,EMB-145LR,EMBRAER,EMB-145LR
N116SY,ERJ 170-200 LR,EMBRAER,ERJ 170-200 LR
N117AA,CL-600-2B16,CANADAIR LTD,CL-600-2B16
N117SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N117UW,A320-214,AIRBUS INDUSTRIE,A320-214
N118AA,NAVION,NORTH AMERICAN,NAVION
N118SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N118US,A320-214,AIRBUS INDUSTRIE,A320-214
N119SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N119US,A320-214,AIRBUS INDUSTRIE,A320-214
N120SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N12135,EMB-145XR,EMBRAER,EMB-145XR
N12136,EMB-145XR,EMBRAER,EMB-145XR
N12142,EMB-145XR,EMBRAER,EMB-145XR
N12157,EMB-145XR,EMBRAER,EMB-145XR
N12160,EMB-145XR,EMBRAER,EMB-145XR
N12163,EMB-145XR,EMBRAER,EMB-145XR
N12166,EMB-145XR,EMBRAER,EMB-145XR
N12167,EMB-145XR,EMBRAER,EMB-145XR
