,manufacturer,model
7819A,BOEING,737-7Q8
7820L,BOEING,737-79P
N102AA,AVIAT AIRCRAFT INC,A-1B
N102UW,AIRBUS INDUSTRIE,A320-214
N103AA,AVIAT AIRCRAFT INC,A-1B
N103SY,EMBRAER S A,ERJ 170-200 LR
N103US,AIRBUS INDUSTRIE,A320-214
N104UW,AIRBUS INDUSTRIE,A320-214
N10575,EMBRAER,EMB-145LR
N105AA,CESSNA,R182
N105SY,EMBRAER S A,ERJ 170-200 LR
N105UW,AIRBUS INDUSTRIE,A320-214
N106SY,EMBRAER S A,ERJ 170-200 LR
N107SY,EMBRAER S A,ERJ 170-200 LR
N107US,AIRBUS INDUSTRIE,A320-214
N108AA,COURTNEY GERALD L,ANTARES MA 32
N108SY,EMBRAER S A,ERJ 170-200 LR
N108UW,AIRBUS INDUSTRIE,A320-214
N109AA,AVIAT AIRCRAFT INC,A-1B
N109SY,EMBRAER S A,ERJ 170-200 LR
N109UW,AIRBUS INDUSTRIE,A320-214
N110AA,BIGELOW MICHAEL A,MARK III XTRA
N110SY,EMBRAER S A,ERJ 170-200 LR
N110UW,AIRBUS INDUSTRIE,A320-214
N11107,EMBRAER,EMB-145XR
N11109,EMBRAER,EMB-145XR
N11127,EMBRAER,EMB-145XR
N11140,EMBRAER,EMB-145XR
N11150,EMBRAER,EMB-145XR
N11164,EMBRAER,EMB-145XR
N11165,EMBRAER,EMB-145XR
N11176,EMBRAER,EMB-145XR
N11181,EMBRAER,EMB-145XR
N11184,EMBRAER,EMB-145XR
N11187,EMBRAER,EMB-145XR
N11189,EMBRAER,EMB-145XR
N11191,EMBRAER,EMB-145XR
N11192,EMBRAER,EMB-145XR
N11193,EMBRAER,EMB-145XR
N11194,EMBRAER,EMB-145XR
N11199,EMBRAER,EMB-145XR
N111AA,BEECH,F90
N111US,AIRBUS INDUSTRIE,A320-214
N11206,BOEING,737-824
N112AA,AERO COMMANDER,500-B
N112US,AIRBUS INDUSTRIE,A320-214
N113SY,EMBRAER S A,ERJ 170-200 LR
N114AA,BEECH,A60
N114SY,EMBRAER,ERJ 170-200 LR
N114UW,AIRBUS INDUSTRIE,A320-214
N11535,EMBRAER,EMB-145LR
N11536,EMBRAER,EMB-145LR
N11539,EMBRAER,EMB-145LR
N11544,EMBRAER,EMB-145LR
N11547,EMBRAER,EMB-145LR
N11548,EMBRAER,EMB-145LR
N11551,EMBRAER,EMB-145LR
N11565,EMBRAER,EMB-145LR
N116SY,EMBRAER,ERJ 170-200 LR
N117AA,CANADAIR LTD,CL-600-2B16
N117SY,EMBRAER S A,ERJ 170-200 LR
N117UW,AIRBUS INDUSTRIE,A320-214
N118AA,NORTH AMERICAN,NAVION
N118SY,EMBRAER S A,ERJ 170-200 LR
N118US,AIRBUS INDUSTRIE,A320-214
N119SY,EMBRAER S A,ERJ 170-200 LR
N119US,AIRBUS INDUSTRIE,A320-214
N120SY,EMBRAER S A,ERJ 170-200 LR
N12135,EMBRAER,EMB-145XR
N12136,EMBRAER,EMB-145XR
N12142,EMBRAER,EMB-145XR
N12157,EMBRAER,EMB-145XR
N12160,EMBRAER,EMB-145XR
N12163,EMBRAER,EMB-145XR
N12166,EMBRAER,EMB-145XR
N12167,EMBRAER,EMB-145XR
N12172,EMBRAER,EMB-145XR
N12175,EMBRAER,EMB-145XR
N12195,EMBRAER,EMB-145XR
N121SY,EMBRAER S A,ERJ 170-200 LR
N121UW,AIRBUS INDUSTRIE,A320-214
N12201,EMBRAER,EMB-145XR
N12216,BOEING,737-824
N12218,BOEING,737-824
N12221,BOEING,737-824
N12225,BOEING,737-824
N12238,BOEING,737-824
N122AA,ROBINSON HELICOPTER COMPANY,R44 II
N122SY,EMBRAER S A,ERJ 170-200 LR
N122US,AIRBUS INDUSTRIE,A320-214
N123AA,HURT GEORGE,CHALLENGER I SPECIAL
N123UW,AIRBUS INDUSTRIE,A320-214
N124AA,AIRBUS,A321-231
N124SY,EMBRAER S A,ERJ 170-200 LR
N124US,AIRBUS INDUSTRIE,A320-214
N12540,EMBRAER,EMB-145LR
N12552,EMBRAER,EMB-145LR
N12563,EMBRAER,EMB-145LR
N12564,EMBRAER,EMB-145LR
N12567,EMBRAER,EMB-145LR
N12569,EMBRAER,EMB-145LR
N125AA,AIRBUS,A321-231
N125SY,EMBRAER S A,ERJ 170-200 LR
N125UW,AIRBUS,A320-214
N126UW,AIRBUS,A320-214
N12754,BOEING,737-700
N127AA,AIRBUS,A321-231
N127SY,EMBRAER S A,ERJ 170-200 LR
N127UW,AIRBUS,A320-214
N128AA,CESSNA,U206F
N128SY,EMBRAER S A,ERJ 170-200 LR
N128UW,AIRBUS,A320-214
N12900,EMBRAER,EMB-145LR
N12922,EMBRAER,EMB-145LR
N12996,EMBRAER,EMB-145LR
N130SY,EMBRAER S A,ERJ 170-200 LR
N13118,EMBRAER,EMB-145XR
N13161,EMBRAER,EMB-145XR
N131EV,BOMBARDIER INC,CL-600-2D24
N131SY,EMBRAER S A,ERJ 170-200 LR
N13202,EMBRAER,EMB-145XR
N13227,BOEING,737-824
N13248,BOEING,737-824
N132EV,BOMBARDIER INC,CL-600-2D24
N132SY,EMBRAER S A,ERJ 170-200 LR
N133EV,BOMBARDIER INC,CL-600-2D24
N133SY,EMBRAER S A,ERJ 170-200 LR
N134EV,BOMBARDIER INC,CL-600-2D24
N134SY,EMBRAER S A,ERJ 170-200 LR
N13538,EMBRAER,EMB-145LR
N13550,EMBRAER,EMB-145LR
N13553,EMBRAER,EMB-145LR
N13566,EMBRAER,EMB-145LR
N135EV,BOMBARDIER INC,CL-600-2D24
N135SY,EMBRAER S A,ERJ 170-200 LR
N136SY,EMBRAER S A,ERJ 170-200 LR
N13716,BOEING,737-724
N13718,BOEING,737-724
N13720,BOEING,737-724
N13750,BOEING,737-724
N137EV,BOMBARDIER INC,CL-600-2D24
N138EV,BOMBARDIER INC,CL-600-2D24
N138SY,EMBRAER S A,ERJ 170-200 LR
N13903,EMBRAER,EMB-145LR
N13908,EMBRAER,EMB-145LR
N13913,EMBRAER,EMB-145LR
N13914,EMBRAER,EMB-145LR
N13975,EMBRAER,EMB-145LR
N13978,EMBRAER,EMB-145LR
N13979,EMBRAER,EMB-145LR
N13988,EMBRAER,EMB-145LR
N13989,EMBRAER,EMB-145LR
N13992,EMBRAER,EMB-145LR
N13994,EMBRAER,EMB-145LR
N13995,EMBRAER,EMB-145LR
N13997,EMBRAER,EMB-145LR
N139SY,EMBRAER S A,ERJ 170-200 LR
N140SY,EMBRAER S A,ERJ 170-200 LR
N14105,EMBRAER,EMB-145XR
N14120,BOEING,757-224
N14143,EMBRAER,EMB-145XR
N14148,EMBRAER,EMB-145XR
N14158,EMBRAER,EMB-145XR
N14162,EMBRAER,EMB-145XR
N14168,EMBRAER,EMB-145XR
N14171,EMBRAER,EMB-145XR
N14173,EMBRAER,EMB-145XR
N14174,EMBRAER,EMB-145XR
N14177,EMBRAER,EMB-145XR
N14179,EMBRAER,EMB-145XR
N14180,EMBRAER,EMB-145XR
N14188,EMBRAER,EMB-145XR
N14198,EMBRAER,EMB-145XR
N141SY,EMBRAER S A,ERJ 170-200 LR
N14203,EMBRAER,EMB-145XR
N14204,EMBRAER,EMB-145XR
N14214,BOEING,737-824
N14219,BOEING,737-824
N14228,BOEING,737-824
N14230,BOEING,737-824
