,airline,manufacturer,model
7819A,WILMINGTON TRUST CO TRUSTEE,BOEING,737-7Q8
7820L,WILMINGTON TRUST CO TRUSTEE,BOEING,737-79P
N10156,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N102AA,CHICO CREEK AVIATION SERVICES LLC,AVIAT AIRCRAFT INC,A-1B
N102UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N103AA,SMITH GEORGE BARKER,AVIAT AIRCRAFT INC,A-1B
N103SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N103US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N104UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N10575,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N105AA,WEHRMACHER JAMES P,CESSNA,R182
N105SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N105UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N106SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N107SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N107US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A320-214
N108AA,COURTNEY GERALD L,COURTNEY GERALD L,ANTARES MA 32
N108SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N108UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A320-214
N109AA,LIBERTY AVIATION LLC,AVIAT AIRCRAFT INC,A-1B
N109SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N109UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A320-214
N110AA,BIGELOW MICHAEL A,BIGELOW MICHAEL A,MARK III XTRA
N110SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N110UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A320-214
N11106,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11107,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11109,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11113,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11119,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11121,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11127,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11137,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11140,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11150,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11155,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N11164,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
