,tail_number,airline,manufacturer,model,manufacturer_short,model_short,manufacturer_model,seats
0,7819A,WILMINGTON TRUST CO TRUSTEE,BOEING,737-7Q8,BOEING,737,BOEING 737,150.0
1,7820L,WILMINGTON TRUST CO TRUSTEE,BOEING,737-79P,BOEING,737,BOEING 737,150.0
2,N102AA,CHICO CREEK AVIATION SERVICES LLC,AVIAT AIRCRAFT INC,A-1B,AVIAT,A,AVIAT A,
3,N102UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
4,N103AA,SMITH GEORGE BARKER,AVIAT AIRCRAFT INC,A-1B,AVIAT,A,AVIAT A,
5,N103SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
6,N103US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
7,N104UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
8,N10575,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
9,N105AA,WEHRMACHER JAMES P,CESSNA,R182,CESSNA,R182,CESSNA R182,
10,N105SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
11,N105UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
12,N106SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
13,N107SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
14,N107US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
15,N108AA,COURTNEY GERALD L,COURTNEY GERALD L,ANTARES MA 32,COURTNEY,ANTARES MA 32,COURTNEY ANTARES MA 32,
16,N108SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
17,N108UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
18,N109AA,LIBERTY AVIATION LLC,AVIAT AIRCRAFT INC,A-1B,AVIAT,A,AVIAT A,
19,N109SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
20,N109UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
21,N110AA,BIGELOW MICHAEL A,BIGELOW MICHAEL A,MARK III XTRA,BIGELOW,MARK III XTRA,BIGELOW MARK III XTRA,
22,N110SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
23,N110UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
24,N11107,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
25,N11109,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
26,N11127,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
27,N11140,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
28,N11150,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
29,N11164,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
30,N11165,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
31,N11176,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
32,N11181,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
33,N11184,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
34,N11187,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
35,N11189,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
36,N11191,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
37,N11192,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
38,N11193,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
39,N11194,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
40,N11199,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
41,N111AA,BLUE WATER AVIATION LLC,BEECH,F90,BEECH,F90,BEECH F90,
42,N111US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
43,N11206,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
44,N112AA,AMERICAN EAST AIRWAYS INC,AERO COMMANDER,500-B,AERO,500,AERO 500,
45,N112US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
46,N113SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
47,N114AA,TOMECA INC,BEECH,A60,BEECH,A60,BEECH A60,
48,N114SY,SKYWEST AIRLINES INC,EMBRAER,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
49,N114UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
50,N11535,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
51,N11536,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
52,N11539,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
53,N11544,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
54,N11547,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
55,N11548,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
56,N11551,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
57,N11565,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
58,N116SY,SKYWEST AIRLINES INC,EMBRAER,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
59,N117AA,CORSAIR TWO LLC,CANADAIR LTD,CL-600-2B16,CANADAIR,CL,CANADAIR CL,
60,N117SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
61,N117UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
62,N118AA,VAN LIERE RANDY J,NORTH AMERICAN,NAVION,NORTH,NAVION,NORTH NAVION,
63,N118SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
64,N118US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214,AIRBUS,A320,AIRBUS A320,156.0
65,N119SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR,EMBRAER,ERJ 170,EMBRAER ERJ 170,69.0
