num_pickups,num_passengers,yr,mnth,d,hr
82,149,2015,1,1,0
10,22,2015,1,1,1
14,26,2015,1,1,2
21,34,2015,1,1,3
19,43,2015,1,1,4
13,29,2015,1,1,5
11,13,2015,1,1,6
36,69,2015,1,1,7
86,145,2015,1,1,8
241,412,2015,1,1,9
380,665,2015,1,1,10
358,634,2015,1,1,11
320,615,2015,1,1,12
437,813,2015,1,1,13
391,672,2015,1,1,14
540,1033,2015,1,1,15
472,869,2015,1,1,16
539,1007,2015,1,1,17
496,908,2015,1,1,18
398,757,2015,1,1,19
539,976,2015,1,1,20
471,875,2015,1,1,21
296,499,2015,1,1,22
399,704,2015,1,1,23
174,311,2015,1,2,0
4,9,2015,1,2,1
1,2,2015,1,2,3
10,21,2015,1,2,4
11,18,2015,1,2,5
18,29,2015,1,2,6
132,229,2015,1,2,7
163,312,2015,1,2,8
508,952,2015,1,2,9
606,1175,2015,1,2,10
450,826,2015,1,2,11
516,959,2015,1,2,12
465,843,2015,1,2,13
575,1009,2015,1,2,14
608,1117,2015,1,2,15
523,948,2015,1,2,16
582,1101,2015,1,2,17
513,931,2015,1,2,18
524,1016,2015,1,2,19
605,1126,2015,1,2,20
568,1074,2015,1,2,21
390,674,2015,1,2,22
486,906,2015,1,2,23
117,223,2015,1,3,0
5,5,2015,1,3,1
2,2,2015,1,3,2
4,5,2015,1,3,3
7,7,2015,1,3,4
14,23,2015,1,3,5
17,28,2015,1,3,6
75,112,2015,1,3,7
132,246,2015,1,3,8
370,694,2015,1,3,9
430,758,2015,1,3,10
448,774,2015,1,3,11
361,617,2015,1,3,12
320,565,2015,1,3,13
515,926,2015,1,3,14
481,863,2015,1,3,15
377,667,2015,1,3,16
474,825,2015,1,3,17
597,1090,2015,1,3,18
534,966,2015,1,3,19
522,914,2015,1,3,20
460,820,2015,1,3,21
609,1079,2015,1,3,22
599,1088,2015,1,3,23
336,581,2015,1,4,0
33,55,2015,1,4,1
3,3,2015,1,4,2
3,8,2015,1,4,3
9,23,2015,1,4,4
