num_pickups,num_passengers,yr,mnth,d,hr
107,210,2014,1,1,0
34,45,2014,1,1,1
34,70,2014,1,1,2
12,18,2014,1,1,3
25,37,2014,1,1,4
16,24,2014,1,1,5
14,17,2014,1,1,6
21,35,2014,1,1,7
94,190,2014,1,1,8
164,285,2014,1,1,9
379,673,2014,1,1,10
367,703,2014,1,1,11
450,836,2014,1,1,12
430,722,2014,1,1,13
455,856,2014,1,1,14
565,1070,2014,1,1,15
542,995,2014,1,1,16
669,1227,2014,1,1,17
796,1553,2014,1,1,18
738,1354,2014,1,1,19
501,869,2014,1,1,20
430,778,2014,1,1,21
633,1096,2014,1,1,22
541,944,2014,1,1,23
235,444,2014,1,2,0
146,228,2014,1,2,1
137,246,2014,1,2,2
62,109,2014,1,2,3
66,110,2014,1,2,4
48,72,2014,1,2,5
29,44,2014,1,2,6
112,194,2014,1,2,7
303,504,2014,1,2,8
506,890,2014,1,2,9
532,1010,2014,1,2,10
600,1099,2014,1,2,11
613,1149,2014,1,2,12
542,987,2014,1,2,13
615,1118,2014,1,2,14
485,848,2014,1,2,15
681,1253,2014,1,2,16
600,1194,2014,1,2,17
639,1214,2014,1,2,18
449,812,2014,1,2,19
291,518,2014,1,2,20
223,435,2014,1,2,21
178,341,2014,1,2,22
119,241,2014,1,2,23
95,149,2014,1,3,0
72,115,2014,1,3,1
26,51,2014,1,3,2
15,32,2014,1,3,3
11,13,2014,1,3,4
11,17,2014,1,3,5
16,33,2014,1,3,6
26,56,2014,1,3,7
33,63,2014,1,3,8
70,135,2014,1,3,9
144,282,2014,1,3,10
250,467,2014,1,3,11
461,845,2014,1,3,12
454,884,2014,1,3,13
524,969,2014,1,3,14
600,1176,2014,1,3,15
628,1125,2014,1,3,16
586,1087,2014,1,3,17
618,1094,2014,1,3,18
510,928,2014,1,3,19
592,1111,2014,1,3,20
513,980,2014,1,3,21
548,1029,2014,1,3,22
676,1217,2014,1,3,23
403,729,2014,1,4,0
183,350,2014,1,4,1
87,172,2014,1,4,2
39,80,2014,1,4,3
17,26,2014,1,4,4
43,96,2014,1,4,5
50,97,2014,1,4,6
88,133,2014,1,4,7
194,320,2014,1,4,8
272,528,2014,1,4,9
331,591,2014,1,4,10
476,866,2014,1,4,11
455,807,2014,1,4,12
403,741,2014,1,4,13
417,768,2014,1,4,14
357,657,2014,1,4,15
354,687,2014,1,4,16
432,752,2014,1,4,17
563,1063,2014,1,4,18
487,849,2014,1,4,19
396,696,2014,1,4,20
324,588,2014,1,4,21
422,710,2014,1,4,22
443,773,2014,1,4,23
293,523,2014,1,5,0
177,324,2014,1,5,1
184,352,2014,1,5,2
90,178,2014,1,5,3
44,83,2014,1,5,4
21,38,2014,1,5,5
30,39,2014,1,5,6
36,60,2014,1,5,7
174,280,2014,1,5,8
225,386,2014,1,5,9
239,396,2014,1,5,10
418,780,2014,1,5,11
403,683,2014,1,5,12
579,1016,2014,1,5,13
648,1098,2014,1,5,14
609,1074,2014,1,5,15
597,1048,2014,1,5,16
525,898,2014,1,5,17
762,1299,2014,1,5,18
600,1075,2014,1,5,19
320,513,2014,1,5,20
628,1120,2014,1,5,21
632,1046,2014,1,5,22
256,424,2014,1,5,23
367,646,2014,1,6,0
366,656,2014,1,6,1
246,372,2014,1,6,2
110,166,2014,1,6,3
32,42,2014,1,6,4
67,103,2014,1,6,5
126,205,2014,1,6,6
201,323,2014,1,6,7
460,769,2014,1,6,8
505,863,2014,1,6,9
769,1351,2014,1,6,10
747,1270,2014,1,6,11
675,1159,2014,1,6,12
619,1056,2014,1,6,13
717,1261,2014,1,6,14
676,1199,2014,1,6,15
674,1183,2014,1,6,16
660,1156,2014,1,6,17
689,1164,2014,1,6,18
696,1213,2014,1,6,19
554,997,2014,1,6,20
468,743,2014,1,6,21
659,1121,2014,1,6,22
546,895,2014,1,6,23
450,768,2014,1,7,0
176,283,2014,1,7,1
104,152,2014,1,7,2
39,65,2014,1,7,3
19,23,2014,1,7,4
36,70,2014,1,7,5
40,46,2014,1,7,6
143,228,2014,1,7,7
234,371,2014,1,7,8
404,640,2014,1,7,9
615,1005,2014,1,7,10
552,918,2014,1,7,11
556,1009,2014,1,7,12
439,749,2014,1,7,13
484,808,2014,1,7,14
562,973,2014,1,7,15
662,1148,2014,1,7,16
640,1085,2014,1,7,17
642,1142,2014,1,7,18
660,1120,2014,1,7,19
403,635,2014,1,7,20
575,1039,2014,1,7,21
634,1045,2014,1,7,22
472,787,2014,1,7,23
365,622,2014,1,8,0
92,173,2014,1,8,1
49,71,2014,1,8,2
7,16,2014,1,8,3
16,34,2014,1,8,4
32,70,2014,1,8,5
28,62,2014,1,8,6
173,292,2014,1,8,7
358,620,2014,1,8,8
425,691,2014,1,8,9
618,1032,2014,1,8,10
384,693,2014,1,8,11
569,958,2014,1,8,12
471,823,2014,1,8,13
615,1064,2014,1,8,14
518,882,2014,1,8,15
511,939,2014,1,8,16
644,1137,2014,1,8,17
657,1173,2014,1,8,18
637,1076,2014,1,8,19
448,766,2014,1,8,20
521,879,2014,1,8,21
576,970,2014,1,8,22
470,776,2014,1,8,23
282,491,2014,1,9,0
20,37,2014,1,9,1
5,5,2014,1,9,2
3,8,2014,1,9,3
7,9,2014,1,9,4
15,32,2014,1,9,5
35,54,2014,1,9,6
170,278,2014,1,9,7
273,478,2014,1,9,8
414,656,2014,1,9,9
425,717,2014,1,9,10
434,779,2014,1,9,11
545,965,2014,1,9,12
586,1067,2014,1,9,13
561,948,2014,1,9,14
529,904,2014,1,9,15
598,1043,2014,1,9,16
668,1191,2014,1,9,17
700,1229,2014,1,9,18
751,1271,2014,1,9,19
567,977,2014,1,9,20
788,1379,2014,1,9,21
694,1202,2014,1,9,22
404,677,2014,1,9,23
166,287,2014,1,10,0
113,226,2014,1,10,1
3,6,2014,1,10,2
3,12,2014,1,10,3
10,13,2014,1,10,4
13,17,2014,1,10,5
13,15,2014,1,10,6
94,155,2014,1,10,7
242,427,2014,1,10,8
236,364,2014,1,10,9
263,455,2014,1,10,10
395,662,2014,1,10,11
594,1118,2014,1,10,12
560,979,2014,1,10,13
573,1027,2014,1,10,14
519,948,2014,1,10,15
605,1071,2014,1,10,16
685,1231,2014,1,10,17
660,1134,2014,1,10,18
650,1128,2014,1,10,19
609,980,2014,1,10,20
733,1229,2014,1,10,21
660,1208,2014,1,10,22
387,761,2014,1,10,23
192,362,2014,1,11,0
61,96,2014,1,11,1
2,2,2014,1,11,2
2,3,2014,1,11,3
4,10,2014,1,11,4
14,14,2014,1,11,5
11,11,2014,1,11,6
32,61,2014,1,11,7
53,80,2014,1,11,8
123,220,2014,1,11,9
287,476,2014,1,11,10
371,642,2014,1,11,11
393,688,2014,1,11,12
334,571,2014,1,11,13
281,509,2014,1,11,14
469,792,2014,1,11,15
369,679,2014,1,11,16
269,499,2014,1,11,17
406,705,2014,1,11,18
433,768,2014,1,11,19
307,519,2014,1,11,20
309,564,2014,1,11,21
407,738,2014,1,11,22
279,536,2014,1,11,23
224,427,2014,1,12,0
26,44,2014,1,12,1
16,28,2014,1,12,2
20,31,2014,1,12,3
8,11,2014,1,12,4
21,46,2014,1,12,5
14,16,2014,1,12,6
48,68,2014,1,12,7
98,155,2014,1,12,8
252,441,2014,1,12,9
412,772,2014,1,12,10
436,754,2014,1,12,11
572,989,2014,1,12,12
590,1024,2014,1,12,13
739,1308,2014,1,12,14
768,1308,2014,1,12,15
825,1351,2014,1,12,16
857,1529,2014,1,12,17
843,1490,2014,1,12,18
802,1342,2014,1,12,19
792,1370,2014,1,12,20
889,1452,2014,1,12,21
828,1382,2014,1,12,22
752,1228,2014,1,12,23
130,225,2014,1,13,0
6,8,2014,1,13,1
46,71,2014,1,13,2
3,3,2014,1,13,3
4,4,2014,1,13,4
15,34,2014,1,13,5
32,62,2014,1,13,6
349,527,2014,1,13,7
645,1060,2014,1,13,8
750,1196,2014,1,13,9
857,1459,2014,1,13,10
737,1256,2014,1,13,11
663,1138,2014,1,13,12
616,1036,2014,1,13,13
702,1214,2014,1,13,14
539,858,2014,1,13,15
681,1181,2014,1,13,16
664,1238,2014,1,13,17
662,1120,2014,1,13,18
554,965,2014,1,13,19
655,1088,2014,1,13,20
603,977,2014,1,13,21
496,899,2014,1,13,22
357,567,2014,1,13,23
145,259,2014,1,14,0
3,3,2014,1,14,1
1,1,2014,1,14,2
1,1,2014,1,14,3
2,2,2014,1,14,4
14,26,2014,1,14,5
36,48,2014,1,14,6
287,445,2014,1,14,7
443,716,2014,1,14,8
617,1028,2014,1,14,9
544,925,2014,1,14,10
556,984,2014,1,14,11
548,905,2014,1,14,12
443,818,2014,1,14,13
528,844,2014,1,14,14
471,805,2014,1,14,15
609,1000,2014,1,14,16
640,1166,2014,1,14,17
828,1431,2014,1,14,18
539,964,2014,1,14,19
508,798,2014,1,14,20
613,1027,2014,1,14,21
526,863,2014,1,14,22
239,427,2014,1,14,23
120,212,2014,1,15,0
28,59,2014,1,15,1
17,37,2014,1,15,2
1,1,2014,1,15,3
3,7,2014,1,15,4
20,41,2014,1,15,5
29,52,2014,1,15,6
262,431,2014,1,15,7
322,561,2014,1,15,8
426,679,2014,1,15,9
520,836,2014,1,15,10
620,1017,2014,1,15,11
537,895,2014,1,15,12
482,854,2014,1,15,13
646,1162,2014,1,15,14
471,839,2014,1,15,15
645,1106,2014,1,15,16
